id,timestamp,score
ejqiu2,1578106614,0
ejqiwd,1578106625,4
ejqizj,1578106635,0
ejqjgc,1578106694,4
ejqjq6,1578106734,1
ejqkc4,1578106810,2
ejql15,1578106901,1
ejqluj,1578107008,1
ejqmdq,1578107076,16
ejqmjt,1578107098,0
ejqniu,1578107230,1
ejqnkt,1578107236,2
ejqns6,1578107263,2
ejqo5q,1578107312,17
ejqp4v,1578107442,0
ejqpxm,1578107551,1
ejqqgv,1578107621,58
ejqrlc,1578107770,1
ejqs04,1578107821,0
ejqs74,1578107839,1
ejqsvq,1578107932,309
ejqurn,1578108180,1
ejquz4,1578108207,4
ejqv08,1578108211,1
ejqvo5,1578108299,1
ejqw2v,1578108350,1
ejqwmq,1578108429,3
ejqx2w,1578108489,1
ejqydu,1578108663,1
ejqyrk,1578108716,0
ejqzbo,1578108781,37
ejqzi4,1578108803,0
ejqzzw,1578108874,1
ejr0c1,1578108920,3
ejr0ji,1578108946,1
ejr0pt,1578108970,2
ejr0q0,1578108971,1
ejr0rx,1578108979,1
ejr1zs,1578109146,0
ejr2yo,1578109274,0
ejr3we,1578109398,13
ejr54t,1578109558,0
ejr56s,1578109567,1
ejr577,1578109568,0
ejr5fh,1578109594,0
ejr5i9,1578109601,1
ejr5jd,1578109604,1
ejr5rb,1578109633,40
ejr628,1578109672,1
ejr671,1578109689,2
ejr6ez,1578109721,9
ejr6nb,1578109754,5
ejr7g6,1578109866,3
ejr7jh,1578109877,11
ejr8t5,1578110048,47
ejr99n,1578110110,4
ejr9p3,1578110165,0
ejra5n,1578110223,0
ejraqy,1578110300,0
ejrb23,1578110342,6
ejrc38,1578110482,9
ejrcus,1578110584,3
ejrdpt,1578110697,3
ejrds5,1578110706,39
ejrdx4,1578110724,3
ejrefi,1578110789,1
ejrer9,1578110833,8
ejrg9m,1578111022,1
ejrj09,1578111403,8
ejrjer,1578111454,0
ejrltz,1578111797,1
ejrmjt,1578111895,0
ejrnvh,1578112085,1
ejrop0,1578112200,1
ejrpb5,1578112289,1
ejrpvi,1578112366,9
ejrq12,1578112391,0
ejrqlg,1578112469,2
ejrqp6,1578112486,1
ejrr61,1578112548,2
ejrru7,1578112645,10
ejrrvi,1578112649,45
ejrrwd,1578112652,5
ejrshv,1578112734,1
ejrsid,1578112736,1
ejrsl5,1578112749,1
ejru3m,1578112952,0
ejru7b,1578112967,28
ejrut6,1578113047,9
ejrvaj,1578113111,33
ejrvfr,1578113132,2
ejrwku,1578113288,4
ejrx5q,1578113373,1
ejrxci,1578113399,7
ejrxcr,1578113400,1709
ejryde,1578113539,3
ejryw9,1578113614,1
ejrzoo,1578113731,1
ejrzun,1578113755,14
ejs0mt,1578113867,11
ejs0rc,1578113888,13
ejs0xp,1578113910,1
ejs18q,1578113958,0
ejs1ex,1578113980,5
ejs1kc,1578113999,1
ejs1vr,1578114044,1
ejs22g,1578114068,7
ejs23h,1578114072,1
ejs24m,1578114078,5
ejs2a8,1578114100,13
ejs3v7,1578114337,2
ejs3z5,1578114354,7
ejs4a1,1578114400,15
ejs4vf,1578114486,343
ejs55u,1578114530,3
ejs6ea,1578114709,1
ejs6q4,1578114749,2
ejs74e,1578114812,6
ejs7js,1578114878,0
ejs7vc,1578114926,2
ejs7yn,1578114940,0
ejs9m2,1578115187,1
ejsah2,1578115321,1
ejsboj,1578115512,1
ejsd1m,1578115729,3
ejse2k,1578115885,0
ejseup,1578116005,3
ejsfik,1578116119,4
ejsfm1,1578116130,5
ejsfqb,1578116147,0
ejsfz4,1578116184,740
ejshsu,1578116468,5691
ejshvl,1578116478,1
ejsieo,1578116559,5
ejsise,1578116617,1
ejsit2,1578116620,1
ejsj5f,1578116670,1
ejsk5y,1578116825,0
ejsldy,1578117021,0
ejsme8,1578117179,1
ejsmo1,1578117214,2
ejsmw0,1578117252,2
ejsnaj,1578117317,3
ejsni2,1578117347,1
ejsni8,1578117348,3353
ejsnik,1578117350,1
ejso53,1578117456,52
ejso57,1578117457,12
ejsohz,1578117519,1
ejsord,1578117560,1
ejsowv,1578117584,0
ejspxp,1578117737,5
ejspy5,1578117738,1
ejsq32,1578117762,1
ejsqc2,1578117804,0
ejstow,1578118329,2
ejstqd,1578118335,2597
ejstw4,1578118362,4
ejsui7,1578118459,0
ejsuuy,1578118524,1
ejswuv,1578118860,3
ejswxz,1578118873,3
ejsxny,1578118994,1
ejsxpf,1578118999,1
ejsybz,1578119113,0
ejsye2,1578119122,1
ejsyvx,1578119210,2
ejsyy8,1578119221,1
ejszpa,1578119344,1
ejt0aw,1578119451,22
ejt0ev,1578119470,1
ejt0k8,1578119493,1
ejt167,1578119590,9
ejt24n,1578119752,0
ejt2i7,1578119814,0
ejt35o,1578119924,2
ejt3da,1578119959,1
ejt3ye,1578120046,3
ejt3yj,1578120047,2
ejt49s,1578120101,1
ejt4wc,1578120199,1
ejt5s7,1578120353,2
ejt5tk,1578120360,1
ejt6b0,1578120437,24
ejt734,1578120570,10
ejt7k1,1578120646,0
ejt7m0,1578120654,5
ejt7u6,1578120690,0
ejt7zl,1578120716,87
ejt894,1578120757,2
ejt8cv,1578120777,66
ejt9c1,1578120939,2
ejt9ys,1578121045,0
ejtaea,1578121124,0
ejtato,1578121198,1
ejtb2v,1578121241,1
ejtb37,1578121243,0
ejtbwk,1578121387,288
ejtc8f,1578121445,1
ejtd66,1578121601,0
ejtd6o,1578121603,4
ejtdez,1578121648,2
ejte5p,1578121772,1
ejtfpf,1578122046,17
ejtgsv,1578122231,14
ejti29,1578122457,3
ejtjhu,1578122725,1
ejtkz7,1578122996,1
ejtl89,1578123044,1
ejtm03,1578123176,1
ejtm4i,1578123201,1
ejtm5n,1578123207,2
ejtm8w,1578123226,1
ejtmlf,1578123286,0
ejtn6b,1578123386,1
ejtn9h,1578123404,1
ejtnku,1578123459,1
ejtnlh,1578123464,21
ejtnnc,1578123474,1
ejtopl,1578123669,13
ejtotz,1578123693,2
ejtp0h,1578123731,6
ejtpdp,1578123795,1
ejtpjf,1578123821,1
ejtpjj,1578123821,1
ejtpuw,1578123882,5
ejtq1t,1578123918,3
ejtq5i,1578123938,31
ejtqkl,1578124012,0
ejtr4y,1578124111,2
ejtr8q,1578124130,14
ejtrf2,1578124162,1
ejts9u,1578124320,0
ejtsgy,1578124355,0
ejtsk6,1578124372,1
ejtsti,1578124425,9
ejtsuk,1578124432,25
ejtt1x,1578124474,1
ejttk3,1578124574,1
ejtulo,1578124784,3
ejtuvl,1578124838,1
ejtvk2,1578124970,21
ejtw0e,1578125055,19
ejtx17,1578125239,53
ejtx3x,1578125253,2
ejtx5a,1578125260,0
ejtxo5,1578125357,1
ejtxu4,1578125378,1
ejtzhp,1578125693,1
eju08h,1578125839,5
eju1yr,1578126196,1
eju3ht,1578126485,0
eju4c2,1578126649,3
eju4e6,1578126665,1
eju4or,1578126727,5
eju4xv,1578126766,0
eju4yo,1578126771,483
eju682,1578127023,0
eju756,1578127202,3
eju7uq,1578127334,1
eju8vt,1578127540,0
eju8wu,1578127546,1
ejua1t,1578127760,346
ejuc1s,1578128184,1
ejuclj,1578128303,1
ejudku,1578128513,1
ejueor,1578128736,1
ejuev8,1578128776,1
ejuf0p,1578128809,6
ejufd5,1578128876,10
ejufl0,1578128916,255
ejuh71,1578129240,4
ejuh76,1578129241,1
ejuhpb,1578129349,1
ejuias,1578129468,1
ejujlb,1578129729,1
ejujlz,1578129733,0
ejuk77,1578129853,4
ejukiq,1578129918,1
ejukn6,1578129946,2
ejukop,1578129955,0
ejukwt,1578129998,37
ejul7g,1578130059,0
ejul9q,1578130068,0
ejulda,1578130090,9
ejum36,1578130237,4
ejum9f,1578130276,0
ejun01,1578130425,2
ejuni2,1578130526,13
ejunrh,1578130581,0
ejuo3o,1578130652,0
ejuobz,1578130696,1
ejuppu,1578130959,4
ejuqhw,1578131116,2
ejuqw8,1578131194,1
ejuqwr,1578131197,2
ejurao,1578131276,10
ejusd3,1578131493,18
ejutkh,1578131737,0
ejutzl,1578131823,2
ejuu25,1578131835,1
ejuu48,1578131847,5
ejuu8i,1578131871,7
ejuuq4,1578131971,1
ejuvti,1578132193,1
ejux27,1578132431,0
ejuxkh,1578132535,1
ejuxl5,1578132539,4
ejuxxb,1578132601,1
ejuy1c,1578132624,18
ejuy77,1578132658,8
ejuyvx,1578132797,0
ejuz04,1578132824,15
ejuz1p,1578132837,23794
ejv0n9,1578133154,0
ejv0tn,1578133199,2
ejv17n,1578133285,6
ejv1bq,1578133305,0
ejv1f5,1578133323,0
ejv2dg,1578133529,1
ejv2sw,1578133623,8
ejv2uu,1578133634,0
ejv36l,1578133705,4
ejv43a,1578133905,1
ejv67a,1578134344,0
ejv78j,1578134548,2
ejvadn,1578135168,1
ejvbn3,1578135440,1
ejvc27,1578135523,0
ejvceu,1578135596,0
ejvdl9,1578135803,1
ejvdnk,1578135813,1
ejvdo6,1578135816,5
ejve3h,1578135879,1
ejvey0,1578136044,0
ejvh6d,1578136474,1
ejvh7y,1578136481,1
ejvhgw,1578136533,1
ejvigt,1578136730,6
ejvioz,1578136780,5
ejvjgr,1578136938,1
ejvk57,1578137081,9
ejvkhv,1578137161,3
ejvmkd,1578137580,1
ejvn42,1578137696,1
ejvnnf,1578137800,1
ejvnxo,1578137856,1
ejvqib,1578138371,0
ejvrb4,1578138510,1
ejvrwp,1578138638,0
ejvrwx,1578138639,7
ejvse7,1578138730,1
ejvsmm,1578138782,18
ejvswb,1578138840,7
ejvthw,1578138978,20
ejvvaw,1578139342,2
ejvvkf,1578139388,6
ejvvm3,1578139397,0
ejvxk7,1578139791,0
ejvxy0,1578139871,6
ejvzmo,1578140193,4
ejvznj,1578140196,0
ejw0ha,1578140351,10
ejw0os,1578140399,31
ejw21s,1578140669,1
ejw276,1578140692,3
ejw2tq,1578140815,3
ejw3gb,1578140940,19
ejw56r,1578141279,4
ejw5js,1578141347,4
ejw5pn,1578141376,0
ejw673,1578141474,44
ejw6pc,1578141559,2
ejw6y6,1578141606,1
ejw74e,1578141642,1
ejw751,1578141645,0
ejw77a,1578141662,3799
ejw7n4,1578141744,2
ejw88d,1578141855,1
ejwa91,1578142241,0
ejwaok,1578142319,1
ejwat1,1578142342,5
ejwbi0,1578142478,0
ejwdw5,1578142916,1
ejwemy,1578143052,44
ejwf5i,1578143142,12
ejwfay,1578143165,1
ejwfdf,1578143178,1
ejwfll,1578143217,3
ejwg75,1578143330,0
ejwgjs,1578143382,10
ejwgp2,1578143410,0
ejwgsw,1578143430,1
ejwh4t,1578143489,76
ejwie2,1578143705,1
ejwj3h,1578143837,0
ejwjoc,1578143941,1
ejwjqs,1578143953,156
ejwju1,1578143970,1
ejwjxm,1578143991,1
ejwk01,1578144006,1
ejwl82,1578144235,10
ejwlbi,1578144253,37
ejwldh,1578144261,4
ejwlrc,1578144329,6
ejwly3,1578144363,1
ejwmm6,1578144481,2
ejwnj2,1578144650,1
ejwo11,1578144740,1014
ejwp95,1578144967,1
ejwppd,1578145048,212
ejwpxz,1578145088,206
ejwqc6,1578145156,6
ejwqmn,1578145202,18
ejwqp5,1578145212,1
ejwsyj,1578145575,2
ejwugj,1578145827,10
ejwuhw,1578145833,9
ejwv5a,1578145943,0
ejwvu5,1578146070,4
ejwwbq,1578146152,307
ejwwq2,1578146228,9
ejwxne,1578146389,0
ejwxte,1578146415,0
ejwzzu,1578146770,1405
ejx42q,1578147380,0
ejx5am,1578147570,31
ejx5gs,1578147598,1
ejx5te,1578147651,0
ejx7ah,1578147882,14
ejx7e3,1578147898,0
ejx87s,1578148038,2
ejx87w,1578148039,1
ejx8bp,1578148055,1
ejx97x,1578148209,1
ejx9oz,1578148282,0
ejxabg,1578148372,50
ejxazn,1578148477,0
ejxb9q,1578148517,0
ejxbq3,1578148573,20
ejxbrp,1578148578,3
ejxd3i,1578148770,1
ejxd6u,1578148781,421
ejxd8c,1578148790,1
ejxewq,1578149044,3
ejxfeo,1578149115,5
ejxgw7,1578149321,4846
ejxh1o,1578149343,90
ejxh71,1578149366,3
ejxhk8,1578149422,0
ejxi1m,1578149490,9
ejxjbk,1578149692,0
ejxkxh,1578149927,5
ejxlpw,1578150038,0
ejxmhs,1578150150,1
ejxn5o,1578150240,4
ejxo3h,1578150377,270
ejxoaf,1578150404,0
ejxojo,1578150441,1
ejxp0o,1578150515,0
ejxpo9,1578150596,0
ejxpoe,1578150597,1
ejxq2e,1578150657,6
ejxq4g,1578150663,57
ejxr6o,1578150801,7
ejxs47,1578150928,4056
ejxs85,1578150945,1
ejxth6,1578151114,1
ejxu7m,1578151220,8
ejxvax,1578151382,9
ejxvdk,1578151391,2
ejxwz3,1578151620,1
ejxxoi,1578151722,0
ejy0i1,1578152122,3
ejy180,1578152219,1
ejy1gq,1578152256,1
